code_module,code_presentation,assessment_name,weight,date,week,mod_pres
CCC,2014B,CMA 1,2.0,18.0,2.0,CCC_2014B
CCC,2014B,CMA 2,7.0,67.0,9.0,CCC_2014B
CCC,2014B,CMA 3,8.0,137.0,19.0,CCC_2014B
CCC,2014B,CMA 4,8.0,207.0,29.0,CCC_2014B
CCC,2014B,Exam,100.0,,,CCC_2014B
CCC,2014B,Exam 2,100.0,,,CCC_2014B
CCC,2014B,TMA 1,9.0,32.0,4.0,CCC_2014B
CCC,2014B,TMA 2,22.0,102.0,14.0,CCC_2014B
CCC,2014B,TMA 3,22.0,151.0,21.0,CCC_2014B
CCC,2014B,TMA 4,22.0,200.0,28.0,CCC_2014B
CCC,2014J,CMA 1,2.0,18.0,2.0,CCC_2014J
CCC,2014J,CMA 2,7.0,67.0,9.0,CCC_2014J
CCC,2014J,CMA 3,8.0,144.0,20.0,CCC_2014J
CCC,2014J,CMA 4,8.0,214.0,30.0,CCC_2014J
CCC,2014J,Exam,100.0,,,CCC_2014J
CCC,2014J,Exam 2,100.0,,,CCC_2014J
CCC,2014J,TMA 1,9.0,32.0,4.0,CCC_2014J
CCC,2014J,TMA 2,22.0,109.0,15.0,CCC_2014J
CCC,2014J,TMA 3,22.0,158.0,22.0,CCC_2014J
CCC,2014J,TMA 4,22.0,207.0,29.0,CCC_2014J
DDD,2013B,CMA 1,2.0,23.0,3.0,DDD_2013B
DDD,2013B,CMA 2,3.0,51.0,7.0,DDD_2013B
DDD,2013B,CMA 3,3.0,79.0,11.0,DDD_2013B
DDD,2013B,CMA 4,4.0,114.0,16.0,DDD_2013B
DDD,2013B,CMA 5,4.0,149.0,21.0,DDD_2013B
DDD,2013B,CMA 6,3.0,170.0,24.0,DDD_2013B
DDD,2013B,CMA 7,6.0,206.0,29.0,DDD_2013B
DDD,2013B,Exam,100.0,240.0,34.0,DDD_2013B
DDD,2013B,TMA 1,7.5,25.0,3.0,DDD_2013B
DDD,2013B,TMA 2,10.0,53.0,7.0,DDD_2013B
DDD,2013B,TMA 3,12.5,81.0,11.0,DDD_2013B
DDD,2013B,TMA 4,15.0,116.0,16.0,DDD_2013B
DDD,2013B,TMA 5,15.0,151.0,21.0,DDD_2013B
DDD,2013B,TMA 6,15.0,200.0,28.0,DDD_2013B
DDD,2013J,Exam,100.0,261.0,37.0,DDD_2013J
DDD,2013J,TMA 1,10.0,25.0,3.0,DDD_2013J
DDD,2013J,TMA 2,12.5,53.0,7.0,DDD_2013J
DDD,2013J,TMA 3,17.5,88.0,12.0,DDD_2013J
DDD,2013J,TMA 4,20.0,123.0,17.0,DDD_2013J
DDD,2013J,TMA 5,20.0,165.0,23.0,DDD_2013J
DDD,2013J,TMA 6,20.0,207.0,29.0,DDD_2013J
DDD,2014B,Exam,100.0,241.0,34.0,DDD_2014B
DDD,2014B,TMA 1,10.0,25.0,3.0,DDD_2014B
DDD,2014B,TMA 2,12.5,53.0,7.0,DDD_2014B
DDD,2014B,TMA 3,17.5,74.0,10.0,DDD_2014B
DDD,2014B,TMA 4,20.0,116.0,16.0,DDD_2014B
DDD,2014B,TMA 5,20.0,158.0,22.0,DDD_2014B
DDD,2014B,TMA 6,20.0,200.0,28.0,DDD_2014B
DDD,2014J,Exam,100.0,,,DDD_2014J
DDD,2014J,TMA 1,5.0,20.0,2.0,DDD_2014J
DDD,2014J,TMA 2,10.0,41.0,5.0,DDD_2014J
DDD,2014J,TMA 3,10.0,62.0,8.0,DDD_2014J
DDD,2014J,TMA 4,25.0,111.0,15.0,DDD_2014J
DDD,2014J,TMA 5,25.0,146.0,20.0,DDD_2014J
DDD,2014J,TMA 6,25.0,195.0,27.0,DDD_2014J
