week,num_students_registered,mod_pres
0,372,AAA_2013J
1,373,AAA_2013J
2,370,AAA_2013J
3,371,AAA_2013J
4,369,AAA_2013J
5,368,AAA_2013J
6,366,AAA_2013J
7,367,AAA_2013J
8,365,AAA_2013J
9,361,AAA_2013J
10,360,AAA_2013J
11,358,AAA_2013J
12,358,AAA_2013J
13,358,AAA_2013J
14,356,AAA_2013J
15,355,AAA_2013J
16,354,AAA_2013J
17,353,AAA_2013J
18,351,AAA_2013J
19,349,AAA_2013J
20,347,AAA_2013J
21,346,AAA_2013J
22,346,AAA_2013J
23,344,AAA_2013J
24,342,AAA_2013J
25,338,AAA_2013J
26,334,AAA_2013J
27,332,AAA_2013J
28,331,AAA_2013J
29,329,AAA_2013J
30,328,AAA_2013J
31,328,AAA_2013J
32,326,AAA_2013J
33,326,AAA_2013J
34,326,AAA_2013J
35,323,AAA_2013J
36,323,AAA_2013J
37,323,AAA_2013J
38,323,AAA_2013J
0,348,AAA_2014J
1,351,AAA_2014J
2,350,AAA_2014J
3,349,AAA_2014J
4,348,AAA_2014J
5,345,AAA_2014J
6,344,AAA_2014J
7,344,AAA_2014J
8,342,AAA_2014J
9,340,AAA_2014J
10,338,AAA_2014J
11,336,AAA_2014J
12,335,AAA_2014J
13,335,AAA_2014J
14,335,AAA_2014J
15,334,AAA_2014J
16,332,AAA_2014J
17,332,AAA_2014J
18,332,AAA_2014J
19,328,AAA_2014J
20,327,AAA_2014J
21,325,AAA_2014J
22,324,AAA_2014J
23,323,AAA_2014J
24,319,AAA_2014J
25,316,AAA_2014J
26,314,AAA_2014J
27,313,AAA_2014J
28,313,AAA_2014J
29,312,AAA_2014J
30,311,AAA_2014J
31,310,AAA_2014J
32,310,AAA_2014J
33,304,AAA_2014J
34,302,AAA_2014J
35,299,AAA_2014J
36,299,AAA_2014J
37,299,AAA_2014J
38,299,AAA_2014J
0,1634,BBB_2013B
1,1623,BBB_2013B
2,1606,BBB_2013B
3,1595,BBB_2013B
4,1529,BBB_2013B
5,1517,BBB_2013B
6,1505,BBB_2013B
7,1482,BBB_2013B
8,1470,BBB_2013B
9,1448,BBB_2013B
10,1442,BBB_2013B
11,1434,BBB_2013B
12,1422,BBB_2013B
13,1410,BBB_2013B
14,1402,BBB_2013B
15,1396,BBB_2013B
16,1385,BBB_2013B
17,1380,BBB_2013B
18,1366,BBB_2013B
19,1362,BBB_2013B
20,1354,BBB_2013B
21,1347,BBB_2013B
22,1341,BBB_2013B
23,1332,BBB_2013B
24,1320,BBB_2013B
25,1313,BBB_2013B
26,1308,BBB_2013B
27,1298,BBB_2013B
28,1295,BBB_2013B
29,1291,BBB_2013B
30,1280,BBB_2013B
31,1273,BBB_2013B
32,1264,BBB_2013B
33,1261,BBB_2013B
34,1261,BBB_2013B
0,1884,BBB_2013J
1,1871,BBB_2013J
2,1852,BBB_2013J
3,1837,BBB_2013J
4,1834,BBB_2013J
5,1823,BBB_2013J
6,1805,BBB_2013J
7,1790,BBB_2013J
8,1785,BBB_2013J
9,1778,BBB_2013J
10,1768,BBB_2013J
11,1760,BBB_2013J
12,1755,BBB_2013J
13,1746,BBB_2013J
14,1730,BBB_2013J
15,1713,BBB_2013J
16,1702,BBB_2013J
17,1692,BBB_2013J
18,1685,BBB_2013J
19,1677,BBB_2013J
20,1669,BBB_2013J
21,1662,BBB_2013J
22,1655,BBB_2013J
23,1647,BBB_2013J
24,1636,BBB_2013J
25,1629,BBB_2013J
26,1628,BBB_2013J
27,1623,BBB_2013J
28,1618,BBB_2013J
29,1616,BBB_2013J
30,1611,BBB_2013J
31,1607,BBB_2013J
32,1603,BBB_2013J
33,1602,BBB_2013J
34,1595,BBB_2013J
35,1590,BBB_2013J
36,1590,BBB_2013J
37,1590,BBB_2013J
38,1590,BBB_2013J
0,1311,BBB_2014B
1,1298,BBB_2014B
2,1289,BBB_2014B
3,1282,BBB_2014B
4,1280,BBB_2014B
5,1273,BBB_2014B
6,1267,BBB_2014B
7,1256,BBB_2014B
8,1247,BBB_2014B
9,1245,BBB_2014B
10,1240,BBB_2014B
11,1233,BBB_2014B
12,1218,BBB_2014B
13,1213,BBB_2014B
14,1209,BBB_2014B
15,1200,BBB_2014B
16,1194,BBB_2014B
17,1190,BBB_2014B
18,1185,BBB_2014B
19,1182,BBB_2014B
20,1179,BBB_2014B
21,1177,BBB_2014B
22,1173,BBB_2014B
23,1167,BBB_2014B
24,1166,BBB_2014B
25,1155,BBB_2014B
26,1153,BBB_2014B
27,1150,BBB_2014B
