code_module,code_presentation,id_student,date_submitted,is_banked,exam,exam_cutoff,assessment_name,exam_cutoff_week,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,course_credits,module_presentation_length,credits_other,educ_band,region_band,is_repeating,ocas,sum_score,num_submitted,num_banked,ocas_rel,date_registration,pct_weeks_active,pct_weeks_online,credits_other_band,mod_pres,is_pass,TMA 1,TMA 2,TMA 3,TMA 4,TMA 5,TMA 6,CMA 1,CMA 2,CMA 3,CMA 4,CMA 5,CMA 6,CMA 7
CCC,2014B,558914,230,0,32.0,241.0,Exam,35,F,North Western Region,A Level or Equivalent,10-20,0-35,0,90,Non-Disabled,Fail,30,241,60,1_ALevel,England,NEW,3075.0,267.0,8.0,0.0,30.75,-74.0,1.0,1.0,"[60, 600)",CCC_2014B,False,62.0,16.0,22.0,42.0,,,30.0,63.0,19.0,13.0,,,
CCC,2014B,559706,234,0,78.0,241.0,Exam,35,M,East Midlands Region,Lower Than A Level,60-70%,0-35,0,30,Non-Disabled,Pass,30,241,0,0_lower_ALevel,England,NEW,6469.0,454.0,8.0,0.0,64.69,-22.0,0.7428571428571429,0.7428571428571429,"[0, 1)",CCC_2014B,True,76.0,83.0,54.0,72.0,,,20.0,45.0,43.0,61.0,,,
CCC,2014B,559770,230,0,54.0,241.0,Exam,35,M,South East Region,HE Qualification,90-100%,35+,0,60,Non-Disabled,Pass,30,241,30,2_higher_ALevel,England,NEW,6436.0,507.0,8.0,0.0,64.36,-22.0,1.0,1.0,"[1, 60)",CCC_2014B,True,66.0,75.0,59.0,62.0,,,60.0,70.0,67.0,48.0,,,
CCC,2014B,560114,230,0,64.0,241.0,Exam,35,M,North Western Region,A Level or Equivalent,10-20,0-35,0,30,Disabled,Pass,30,241,0,1_ALevel,England,NEW,6936.0,538.0,8.0,0.0,69.36,-281.0,0.9714285714285714,0.9714285714285714,"[0, 1)",CCC_2014B,True,80.0,89.0,75.0,41.0,,,40.0,78.0,74.0,61.0,,,
CCC,2014B,560311,234,0,100.0,241.0,Exam,35,M,East Anglian Region,Lower Than A Level,50-60%,0-35,0,60,Non-Disabled,Distinction,30,241,30,0_lower_ALevel,England,NEW,9378.0,739.0,8.0,0.0,93.78,-28.0,0.8285714285714286,0.8285714285714286,"[1, 60)",CCC_2014B,True,96.0,98.0,96.0,92.0,,,90.0,94.0,88.0,85.0,,,
CCC,2014B,560494,230,0,92.0,241.0,Exam,35,M,London Region,A Level or Equivalent,30-40%,0-35,0,90,Disabled,Pass,30,241,60,1_ALevel,England,NEW,5383.0,486.0,6.0,0.0,53.83,-46.0,1.0,1.0,"[60, 600)",CCC_2014B,True,,,79.0,73.0,,,90.0,93.0,73.0,78.0,,,
CCC,2014B,561363,230,0,84.0,241.0,Exam,35,M,Scotland,Post Graduate Qualification,80-90%,35+,0,60,Non-Disabled,Pass,30,241,30,2_higher_ALevel,Scotland,NEW,7858.0,593.0,8.0,0.0,78.58,-29.0,0.6571428571428571,0.6571428571428571,"[1, 60)",CCC_2014B,True,90.0,88.0,80.0,75.0,,,50.0,78.0,67.0,65.0,,,
CCC,2014B,561559,230,0,42.0,241.0,Exam,35,M,South Region,HE Qualification,40-50%,35+,0,60,Non-Disabled,Pass,30,241,30,2_higher_ALevel,England,NEW,7972.0,598.0,8.0,0.0,79.72,-123.0,0.8571428571428571,0.8571428571428571,"[1, 60)",CCC_2014B,True,88.0,96.0,76.0,89.0,,,80.0,74.0,54.0,41.0,,,
CCC,2014B,561774,230,0,62.0,241.0,Exam,35,M,Scotland,A Level or Equivalent,60-70%,0-35,0,90,Non-Disabled,Pass,30,241,60,1_ALevel,Scotland,NEW,6578.0,564.0,8.0,0.0,65.78,-102.0,0.8857142857142857,0.8857142857142857,"[60, 600)",CCC_2014B,True,90.0,61.0,74.0,45.0,,,80.0,64.0,83.0,67.0,,,
CCC,2014B,562825,230,0,54.0,241.0,Exam,35,M,East Midlands Region,HE Qualification,90-100%,35+,0,60,Non-Disabled,Pass,30,241,30,2_higher_ALevel,England,NEW,3772.0,344.0,6.0,0.0,37.72,-22.0,0.6,0.6,"[1, 60)",CCC_2014B,True,58.0,67.0,,33.0,,,60.0,78.0,,48.0,,,
